"Step","tfs0.005_csg-brook01_20241220-031823 - train_loss","tfs0.005_csg-brook01_20241220-031823 - train_loss__MIN","tfs0.005_csg-brook01_20241220-031823 - train_loss__MAX","tfs0.05_csg-brook01_20241219-224600 - train_loss","tfs0.05_csg-brook01_20241219-224600 - train_loss__MIN","tfs0.05_csg-brook01_20241219-224600 - train_loss__MAX","tfs0.05_csg-brook01_20241219-182611 - train_loss","tfs0.05_csg-brook01_20241219-182611 - train_loss__MIN","tfs0.05_csg-brook01_20241219-182611 - train_loss__MAX"
"2","0.16937237693768317","0.16937237693768317","0.16937237693768317","0.1959504896438525","0.1959504896438525","0.1959504896438525","0.3010896202888526","0.3010896202888526","0.3010896202888526"
"3","0.16937778631498354","0.16937778631498354","0.16937778631498354","0.2013742745989753","0.2013742745989753","0.2013742745989753","0.289396505466824","0.289396505466824","0.289396505466824"
"4","0.1669497588090549","0.1669497588090549","0.1669497588090549","0.19956347303950414","0.19956347303950414","0.19956347303950414","0.28036433010120565","0.28036433010120565","0.28036433010120565"
"5","0.16720565339511637","0.16720565339511637","0.16720565339511637","0.2015886604139944","0.2015886604139944","0.2015886604139944","0.27766950941359037","0.27766950941359037","0.27766950941359037"
"6","0.1694341446615204","0.1694341446615204","0.1694341446615204","0.20414070948115928","0.20414070948115928","0.20414070948115928","0.2797270990261318","0.2797270990261318","0.2797270990261318"
"7","0.17017321783248537","0.17017321783248537","0.17017321783248537","0.20243553106112092","0.20243553106112092","0.20243553106112092","0.2749113826579212","0.2749113826579212","0.2749113826579212"
"8","0.16827899784313183","0.16827899784313183","0.16827899784313183","0.20244798720912463","0.20244798720912463","0.20244798720912463","0.2722321339009512","0.2722321339009512","0.2722321339009512"
"9","0.1723382620277201","0.1723382620277201","0.1723382620277201","0.20188321107605312","0.20188321107605312","0.20188321107605312","0.26966409098707106","0.26966409098707106","0.26966409098707106"
"10","0.1692109395970189","0.1692109395970189","0.1692109395970189","0.20061148913371363","0.20061148913371363","0.20061148913371363","0.27087762480936767","0.27087762480936767","0.27087762480936767"
"11","0.16853038947804452","0.16853038947804452","0.16853038947804452","0.19406209523976922","0.19406209523976922","0.19406209523976922","0.2696118762098516","0.2696118762098516","0.2696118762098516"
"12","0.16711831650543355","0.16711831650543355","0.16711831650543355","0.2022405569879792","0.2022405569879792","0.2022405569879792","0.2647782589344159","0.2647782589344159","0.2647782589344159"
"13","0.17004675023559016","0.17004675023559016","0.17004675023559016","0.20657822728018815","0.20657822728018815","0.20657822728018815","0.26816030461253265","0.26816030461253265","0.26816030461253265"
"14","0.16908318057274943","0.16908318057274943","0.16908318057274943","0.20526359334839575","0.20526359334839575","0.20526359334839575","0.26571957138299385","0.26571957138299385","0.26571957138299385"
"15","0.1735094600621566","0.1735094600621566","0.1735094600621566","0.20201297998005896","0.20201297998005896","0.20201297998005896","0.27133585031945723","0.27133585031945723","0.27133585031945723"
"16","0.16963196354161972","0.16963196354161972","0.16963196354161972","0.20250749480056407","0.20250749480056407","0.20250749480056407","0.26510091309507267","0.26510091309507267","0.26510091309507267"
"17","0.17152703180305293","0.17152703180305293","0.17152703180305293","0.2007242771303108","0.2007242771303108","0.2007242771303108","0.26465645308215885","0.26465645308215885","0.26465645308215885"
"18","0.16723345760183828","0.16723345760183828","0.16723345760183828","0.2007240934805455","0.2007240934805455","0.2007240934805455","0.26344592357092844","0.26344592357092844","0.26344592357092844"
"19","0.16887856373917517","0.16887856373917517","0.16887856373917517","0.2036784359701318","0.2036784359701318","0.2036784359701318","0.26778861399558446","0.26778861399558446","0.26778861399558446"
