"Step","tfs0.005_csg-brook01_20241220-031823 - val_loss","tfs0.005_csg-brook01_20241220-031823 - val_loss__MIN","tfs0.005_csg-brook01_20241220-031823 - val_loss__MAX","tfs0.05_csg-brook01_20241219-224600 - val_loss","tfs0.05_csg-brook01_20241219-224600 - val_loss__MIN","tfs0.05_csg-brook01_20241219-224600 - val_loss__MAX","tfs0.05_csg-brook01_20241219-182611 - val_loss","tfs0.05_csg-brook01_20241219-182611 - val_loss__MIN","tfs0.05_csg-brook01_20241219-182611 - val_loss__MAX"
"33","6.426140240567961","6.426140240567961","6.426140240567961","7.015279516584409","7.015279516584409","7.015279516584409","8.312309184836757","8.312309184836757","8.312309184836757"
"225","","","","6.908077536226456","6.908077536226456","6.908077536226456","7.666115017129273","7.666115017129273","7.666115017129273"
"353","6.39904953349372","6.39904953349372","6.39904953349372","","","","","",""
"417","","","","6.822214273633204","6.822214273633204","6.822214273633204","7.437590028676513","7.437590028676513","7.437590028676513"
"609","","","","6.720151688156754","6.720151688156754","6.720151688156754","7.279706749009954","7.279706749009954","7.279706749009954"
"673","6.399990572924585","6.399990572924585","6.399990572924585","","","","","",""
"801","","","","6.6707077408190125","6.6707077408190125","6.6707077408190125","7.146828568492128","7.146828568492128","7.146828568492128"
"993","6.378774306683003","6.378774306683003","6.378774306683003","6.6390471867333725","6.6390471867333725","6.6390471867333725","7.041855742458916","7.041855742458916","7.041855742458916"
"1185","","","","6.559416020107067","6.559416020107067","6.559416020107067","","",""
"1313","6.389071849030558","6.389071849030558","6.389071849030558","","","","","",""
"1377","","","","6.581930700382106","6.581930700382106","6.581930700382106","","",""
"1569","","","","6.523127359432852","6.523127359432852","6.523127359432852","","",""
"1633","6.349137376173635","6.349137376173635","6.349137376173635","","","","","",""
"1761","","","","6.488708273437624","6.488708273437624","6.488708273437624","","",""
"1953","6.339257222711747","6.339257222711747","6.339257222711747","6.46780761532027","6.46780761532027","6.46780761532027","","",""
"2145","","","","6.451926822975749","6.451926822975749","6.451926822975749","","",""
"2273","6.327733371574491","6.327733371574491","6.327733371574491","","","","","",""
"2337","","","","6.417815003730831","6.417815003730831","6.417815003730831","","",""
"2529","","","","6.408023735435478","6.408023735435478","6.408023735435478","","",""
"2593","6.342258692509395","6.342258692509395","6.342258692509395","","","","","",""
"2721","","","","6.430297445123454","6.430297445123454","6.430297445123454","","",""
"2913","6.295766206223251","6.295766206223251","6.295766206223251","6.413248831104457","6.413248831104457","6.413248831104457","","",""
"3105","","","","6.410871575662741","6.410871575662741","6.410871575662741","","",""
"3233","6.316238605022554","6.316238605022554","6.316238605022554","","","","","",""
"3553","6.323836506259085","6.323836506259085","6.323836506259085","","","","","",""
"3873","6.310738117947445","6.310738117947445","6.310738117947445","","","","","",""
"4193","6.291429817018491","6.291429817018491","6.291429817018491","","","","","",""
"4513","6.3019839663385975","6.3019839663385975","6.3019839663385975","","","","","",""
"4833","6.30181602699877","6.30181602699877","6.30181602699877","","","","","",""
"5153","6.280918679525893","6.280918679525893","6.280918679525893","","","","","",""
"5473","6.273545658913974","6.273545658913974","6.273545658913974","","","","","",""
"5793","6.292025377438698","6.292025377438698","6.292025377438698","","","","","",""
"6113","6.277474646789511","6.277474646789511","6.277474646789511","","","","","",""
